ELEMENT_SUBNATIONAL_ID,ELCODE,SNAME,SCOMNAME,HPLIST,TRACK,added to project,iNaturalist name if different,notes/issues,References
7313,IIHEM83010,Cardiastethus borealis,Boreal minute pirate bug,3,Y,y,,,
13117,IMGAS0H010,Carinacauda stormi,Cascades axetail slug,1,Y,y,,,
7550,IILEPN7030,Cercyonis sthenele,Great Basin wood nymph,3,W,y,,,
7732,IIPLE2L020,Chernokrilus misnomus,Pacific springfly,3,Y,y,,,
7678,IIORT12010,Chloealtis aspasma,Siskiyou short-horned grasshopper,1,Y,y,,,
7205,IICOL02090,Cicindela columbica,Columbia River tiger beetle,1-ex,Y,y,,,
7207,IICOL02109,Cicindela hirticollis couleensis,Hairy-necked tiger beetle,2,Y,y,,,
7208,IICOL0210B,Cicindela hirticollis siuslawensis,Siuslaw sand tiger beetle,1,Y,y,,,
11850,IICOL02284,Cicindela purpurea hatchi,A tiger beetle,3,Y,y,,,
406224,IIEPH56100,Cinygmula tioga,A mayfly,1,Y,y,,,
12784,IILEPA8042,Colias christina pseudochristina,Intermountain sulphur,2,Y,y,Colias occidentalis ssp. pseudochristina,,
366235,IILEPA8272,Colias occidentalis primordialis,A sulphur,1,Y,y,,,
,,Colias occidentalis resplendens,A sulphur,4,W,y,,,
13138,IILEPA8225,Colias occidentalis sullivani,Sullivan's sulphur,1,Y,y,,,
366216,IILEPA8133,Colias skinneri hinchliffi,Steen's Mountain sulphur,1,Y,,,not in iNaturalist taxonomy. doesn't seem to be widely recognized,
7936,IMGASF8010,Colligyrus depressus,Harney Basin duskysnail,1,Y,y,,,
365576,IMGASF8040,Colligyrus greggi,Rocky Mountain duskysnail,2,Y,u,,,
7930,IMGASF4200,Colligyrus sp. 3,Blue Mountains duskysnail,1,Y,skip,,unpublished taxon,
7932,IMGASF4220,Colligyrus sp. 5,Klamath duskysnail,1,Y,skip,,unpublished taxon,
7934,IMGASF4240,Colligyrus sp. 7,Mare's egg duskysnail,1,Y,skip,,unpublished taxon,
7935,IMGASF4250,Colligyrus sp. 8,Nodose duskysnail,1,Y,skip,,unpublished taxon,
7253,IICOLC7010,Conisattus rectus,Sand darkling beetle,3,Y,y,,,
7314,IIHEM84010,Criocoris saliens,Salien plant bug,3,Y,y,,,
7901,IMGAS93010,Cryptomastix devia,Puget oregonian,2,Y,y,,,
7902,IMGAS93030,Cryptomastix hendersoni,Columbia Gorge oregonian,1,Y,y,,,
7903,IMGAS93080,Cryptomastix populi,Poplar oregonian,1,Y,y,,,
365574,IMGAS93060,Cryptomastix sanburni,Disc oregonian,2,Y,y,,,
366213,IILEPP2012,Danaus plexippus pop. 1,Western Monarch,1,Y,y,Danaus plexippus,add full species,
7315,IIHEM85010,Dendrocoris arizonensis,Arizona stink bug,3,Y,y,,,
7335,IIHEMA9010,Derephysia foliacea,Foliaceous lace bug,3,Y,y,,,
417960,IIPLE2W010,Dracoleuctra siskiyou,A wingless stonefly,3,Y,y,,,
7176,IAOLI01020,Driloleirus macelfreshi,Oregon giant earthworm,1,Y,y,,,
11561,ICBRA23010,Dumontia oregonensis,A water flea,2,Y,y,,,
7746,IITRI08010,Eobrachycentrus gelidae,Mt. Hood brachycentrid caddisfly,4,W,y,,,
7178,ICBRA01080,Eubranchipus oregonus,Oregon fairy shrimp,2,Y,y,,,
7524,IILEPK405K,Euphydryas editha taylori,Taylor's checkerspot,1,Y,y,,,
13084,IILEPK4010,Euphydryas gillettii,Gillett's checkerspot,2,Y,y,,,
442063,IILEYBH030,Euros osticollis,A noctuid moth,3,Y,y,,,
7755,IITRI13060,Farula constricta,A caddisfly,1,Y,y,,,
7751,IITRI13010,Farula davisi,Green Springs Mountain farulan caddisfly,3,Y,y,,,
7752,IITRI13020,Farula jewetti,Mt. Hood farulan caddisfly,4,W,y,,,
7753,IITRI13030,Farula reapiri,Tombstone Prairie farulan caddisfly,4,W,y,,,
8005,IMGASL6010,Fisherola nuttalli,Shortface lanx,1,Y,y,,,
13700,IMGASG3520,Fluminicola fremonti,Fremont Pebblesnail,1,Y,y,,,
366219,IMGASG3620,Fluminicola fresti,Frest's pebblesnail,1,Y,y,,,
365449,IMGASG3500,Fluminicola fuscus,Columbia pebblesnail,2,Y,y,,,
7961,IMGASG3350,Fluminicola insolitus,Donner und Blitzen pebblesnail,1,Y,y,,,
7954,IMGASG3260,Fluminicola klamathensis,Tall pebblesnail,1,Y,y,,,
7938,IMGASG3080,Fluminicola modoci,Modoc pebblesnail,1,Y,y,,,
366215,IMGASG3540,Fluminicola multifarius,Shasta pebblesnail,2,Y,y,,,
7939,IMGASG3100,Fluminicola nuttallianus,Dusky pebblesnail,1,Y,y,,,
7950,IMGASG3220,Fluminicola sp. 10,Metolius pebblesnail,1,Y,skip,,unpublished taxon,
7951,IMGASG3230,Fluminicola sp. 11,Nerite pebblesnail,1,Y,skip,,unpublished taxon,
7952,IMGASG3240,Fluminicola sp. 12,Odessa pebblesnail,1,Y,skip,,unpublished taxon,
7953,IMGASG3250,Fluminicola sp. 13,Ouxy Spring pebblesnail,1,Y,skip,,unpublished taxon,
7955,IMGASG3270,Fluminicola sp. 15,Tiger lily pebblesnail,1,Y,skip,,unpublished taxon,
7956,IMGASG3280,Fluminicola sp. 16,Toothed pebblesnail,1,Y,skip,,unpublished taxon,
7957,IMGASG3290,Fluminicola sp. 17,Tuscan pebblesnail,1,Y,skip,,unpublished taxon,
7958,IMGASG3300,Fluminicola sp. 18,Wood River pebblesnail,1,Y,skip,,unpublished taxon,
7942,IMGASG3140,Fluminicola sp. 2,Casebeer pebblesnail,1,Y,skip,,unpublished taxon,
7960,IMGASG3320,Fluminicola sp. 20,Crooked Creek pebblesnail,1,Y,skip,,unpublished taxon,
10648,IMGASG3340,Fluminicola sp. 21,Pinhead pebblesnail,1,Y,skip,,unpublished taxon,
7943,IMGASG3150,Fluminicola sp. 3,Diminutive pebblesnail,1,Y,skip,,unpublished taxon,
7944,IMGASG3160,Fluminicola sp. 4,Fall Creek pebblesnail,1,Y,skip,,unpublished taxon,
7945,IMGASG3170,Fluminicola sp. 5,Klamath pebblesnail,3,Y,skip,,unpublished taxon,
7947,IMGASG3190,Fluminicola sp. 7,Lake of the Woods pebblesnail,1,Y,skip,,unpublished taxon,
7948,IMGASG3200,Fluminicola sp. 8,Lost River pebblesnail,1,Y,skip,,unpublished taxon,
