ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
IMGASG3250,G1,7953.0,Fluminicola sp. 13,Ouxy Spring pebblesnail,S1,Track all extant and selected historical EOs
IMGAS59010,G3,365427.0,Hemphillia burringtoni,Keeled jumping-slug,S3?,Track all extant and selected historical EOs
IMBIV51220,G1,7886.0,Pisidium ultramontanum,Montane peaclam,S1,Track all extant and selected historical EOs
IMGASA4100,G1,7909.0,Vespericola sp. 1,Oak Springs hesperian,S1,Track all extant and selected historical EOs
IITRI24010,G3,7808.0,Homoplectra schuhi,Schuh's homoplectran caddisfly,S3?,Track all extant and selected historical EOs
IMGASA4110,G1,7910.0,Vespericola sp. 2,Bald hesperian,S1,Track all extant and selected historical EOs
IMGASJ0590,G1,7965.0,Pyrgulopsis sp. 9,Klamath Lake springsnail,S1,Track all extant and selected historical EOs
IMGAS80140,G3G4,7898.0,Pristiloma wascoense,Shiny tightcoil,S2S3,Track all extant and selected historical EOs
IMGAS62100,G3,7896.0,Prophysaon sp. 1,Klamath tail-dropper,S2,Track all extant and selected historical EOs
ICMAL92010,G1G2,7202.0,Stygonyx courtneyi,A cave obligate amphipod,S1,Track all extant and selected historical EOs
IMGAS20130,G1,10685.0,Vertigo dalliana,Horseshoe vertigo,S1,Track all extant and selected historical EOs
IIHEM91010,G2,7321.0,Lygus oregonae,Oregon plant bug,S1,Track all extant and selected historical EOs
IPTUR08010,G1G2,8048.0,Kenkia rhynchida,Malheur Cave flatworm,S1S2,Track all extant and selected historical EOs
