name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
12003,Anoectangium aestivum : Summer-moss,Anoectangium aestivum,(Hedw.) Mitt.,Summer-moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126292,ELEMENT_GLOBAL.2.126292,Pottiaceae,NBMUS0B010,Nonvascular Plant,,Plant,
12130,Anomobryum julaceum : Slender silver moss,Anomobryum julaceum,"(Schrad. ex P. Gaertn., B. Mey. & Scherb.) Schimp.",Slender silver moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125524,ELEMENT_GLOBAL.2.125524,Bryaceae,NBMUS80010,Nonvascular Plant,,Plant,
9804,Arrhenia lobata : Fungus,Arrhenia lobata,(Pers.) Kühner & Lamoure ex Redhead,Fungus,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.9802,ELEMENT_GLOBAL.57.9802,Tricholomataceae,NFNHP00012,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
365367,Asterella bolanderi : Liverwort,Asterella bolanderi,(Aust.) Underw.,Liverwort,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126841,ELEMENT_GLOBAL.2.126841,Aytoniaceae,NBHEP0C010,Nonvascular Plant,,Plant,
365551,Asterophora lycoperdoides : Powdery piggyback mushroom,Asterophora lycoperdoides,(Bull.) Ditmar,Powdery piggyback mushroom,S2S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.973544,ELEMENT_GLOBAL.2.973544,Tricholomataceae,NFAGA0A010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
365552,Asterophora parasitica : Silky piggyback mushroom,Asterophora parasitica,(Bull.) Singer,Silky piggyback mushroom,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.973545,ELEMENT_GLOBAL.2.973545,Tricholomataceae,NFAGA0A020,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
365615,Baeospora myriadophylla : Lavender Baeospora,Baeospora myriadophylla,(Peck) Singer,Lavender Baeospora,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.921259,ELEMENT_GLOBAL.2.921259,Marasmiaceae,NFMAR01010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
450217,Baisuzhenia humphreyi : Ghost funnel,Baisuzhenia humphreyi,"(Burt) H. Qu, Z.W. Ge, Zhu L. Yang & Redhead",Ghost funnel,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1063179,ELEMENT_GLOBAL.2.1063179,Baisuzheniaceae,NFPOL25010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
9810,Balsamia alba : Fungus,Balsamia alba,Harkn.,Fungus,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.9805,ELEMENT_GLOBAL.57.9805,Helvellaceae,NFNHP00013,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
366152,Balsamia cascadensis : Fungus,Balsamia cascadensis,"D. Southw., J.L. Frank &amp; Castellano",Fungus,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1099907,ELEMENT_GLOBAL.2.1099907,Helvellaceae,NFPEZ0W020,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
9823,Balsamia latispora : Fungus,Balsamia latispora,"D. Southw., J.L. Frank & Castellano",Fungus,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1299701,ELEMENT_GLOBAL.2.1299701,Helvellaceae,NFPEZ0W070,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
366153,Balsamia lazyana : Fungus,Balsamia lazyana,"Trappe, D. Southw. &amp; Amaranthus",Fungus,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1099910,ELEMENT_GLOBAL.2.1099910,Helvellaceae,NFPEZ0W030,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
9817,Balsamia nigrans : Fungus,Balsamia nigrans,Harkn.,Fungus,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.637232,ELEMENT_GLOBAL.2.637232,Helvellaceae,NFFUN45010,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
366154,Balsamia quercicola : Fungus,Balsamia quercicola,"D. Southw., M.E. Smith &amp; J.L. Frank",Fungus,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1099913,ELEMENT_GLOBAL.2.1099913,Helvellaceae,NFPEZ0W040,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
366155,Balsamia setchellii : Fungus,Balsamia setchellii,"(E. Fisch.) Trappe, D. Southw. &amp; Castellano",Fungus,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1099916,ELEMENT_GLOBAL.2.1099916,Helvellaceae,NFPEZ0W050,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
8051,Barbilophozia barbata : Bearded pawwort,Barbilophozia barbata,(Schmid. ex Schreb.) Loeske,Bearded pawwort,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.122348,ELEMENT_GLOBAL.2.122348,Jungermanniaceae,NBHEP0E030,Nonvascular Plant,,Plant,
8052,Barbilophozia lycopodioides : Greater pawwort,Barbilophozia lycopodioides,(Wallroth) Loeske,Greater pawwort,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124842,ELEMENT_GLOBAL.2.124842,Jungermanniaceae,NBHEP0E0A0,Nonvascular Plant,,Plant,
13703,Barbula unguiculata : Prickly beard moss,Barbula unguiculata,Hedw.,Prickly beard moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.122996,ELEMENT_GLOBAL.2.122996,Pottiaceae,NBMUS0Q0K0,Nonvascular Plant,,Plant,
12739,Besa leptophylla : Red marine alga,Besa leptophylla,(J. Agardh) M.S. Calderon & K.A. Miller,Red marine alga,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830354,ELEMENT_GLOBAL.2.830354,Phyllophoraceae,NARHO33010,Alga (Plant),,Plant,
12000,Blepharostoma arachnoideum : Liverwort,Blepharostoma arachnoideum,M.A. Howe,Liverwort,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125222,ELEMENT_GLOBAL.2.125222,Pseudolepicoleaceae,NBHEP0H010,Nonvascular Plant,,Plant,
450381,Bondarzewia occidentalis : Western Bondo,Bondarzewia occidentalis,"Jia J. Chen, B.K. Cui &amp; Y.C. Dai",Western Bondo,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1170609,ELEMENT_GLOBAL.2.1170609,Bondarzewiaceae,NFRUS15020,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
8094,Brachydontium olympicum : Olympic brachydontium moss,Brachydontium olympicum,(Britt.) McIntosh & Spence,Olympic brachydontium moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126171,ELEMENT_GLOBAL.2.126171,Seligeriaceae,NBMUS0X020,Nonvascular Plant,MOSS,Plant,PERENNIAL
8095,Brachythecium turgidum : Thick ragged moss,Brachythecium turgidum,(Hartm.) Kindb.,Thick ragged moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125403,ELEMENT_GLOBAL.2.125403,Brachytheciaceae,NBMUS0Z0V0,Nonvascular Plant,,Plant,
8143,Bridgeoporus nobilissimus : Giant polypore fungus,Bridgeoporus nobilissimus,"Burdsall, Volk, &amp; Ammirati",Giant polypore fungus,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121915,ELEMENT_GLOBAL.2.121915,Polyporaceae,NFFUN0F010,Fungus,FUNGUS|MACROFUNGUS,Plant,PERENNIAL FRUITING BODY
8096,Bruchia bolanderi : Bolander's bruchia,Bruchia bolanderi,Lesq.,Bolander's bruchia,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121922,ELEMENT_GLOBAL.2.121922,Bruchiaceae,NBMUS13010,Nonvascular Plant,,Plant,
8097,Bruchia flexuosa : Bending Bruch's moss,Bruchia flexuosa,(Sw. ex Schwaegr.) C. Mull.,Bending Bruch's moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121412,ELEMENT_GLOBAL.2.121412,Bruchiaceae,NBMUS13060,Nonvascular Plant,MOSS,Plant,
9854,Bryoglossum gracile : Fungus,Bryoglossum gracile,(P. Karst.) Redhead,Fungus,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.57.9852,ELEMENT_GLOBAL.57.9852,Helotiaceae,NFNHP00016,Fungus,FUNGUS|MACROFUNGUS,Plant,EPHEMERAL FRUITING BODY
8173,Bryoria bicolor : Electrified horsehair lichen,Bryoria bicolor,(Ehrh.) Brodo & D. Hawksw.,Electrified horsehair lichen,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126487,ELEMENT_GLOBAL.2.126487,Parmeliaceae,NLTEST5260,Fungus,FUNGUS|LICHEN,Plant,
