SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Cypripedium californicum,California lady's-slipper,Gray,4,y,,,,
Cypripedium fasciculatum,Clustered lady's-slipper,Kellogg ex S. Wats.,2,y,,,,
Cypripedium montanum,Mountain lady's-slipper,Dougl. ex Lindl.,4,y,,,,
Danthonia spicata,Poverty oatgrass,(L.) Beauv. ex Roemer & J.A. Schultes,2,y,,,,
Darlingtonia californica,California pitcher-plant,Torr.,4,y,,,,
Delphinium leucophaeum,White rock larkspur,Greene,1,y,,,,
Delphinium nudicaule,Red larkspur,Torr. & Gray,2,y,,,,
Delphinium nuttallii,Nuttall's larkspur,Gray,2,y,,,,
Delphinium oreganum,Willamette Valley larkspur,Howell,1,y,,,,
Delphinium pavonaceum,Peacock larkspur,Ewan,1,y,,,,
Dicentra formosa ssp. oregana,Oregon bleedingheart,(Andr.) Walp.,4,y,,,,
Dicentra pauciflora,Few-flowered bleedingheart,S. Wats.,2,y,,,,
Dichelostemma ida-maia,Firecracker flower,(Wood) Greene,4,y,,,,
Diphasiastrum complanatum,Ground cedar,(L.) Holub,2,y,,,,
Diplacus aurantiacus,Bush monkeyflower,(W. Curtis) Jepson,3,y,,,,
Diplacus bolanderi,Bolander's monkeyflower,(A. Gray) G.L. Nesom,2,y,,,,
Diplacus clivicola,Bank monkeyflower,(Greenm.) G.L. Nesom,4,y,,,,
Diplacus congdonii,Congdon's monkeyflower,(B.L. Rob.) G.L. Nesom,2,y,,,,
Diplacus douglasii,Douglas' monkeyflower,(Benth.) G.L. Nesom,4,y,,,,
Diplacus jepsonii,Jepson's monkeyflower,(A.L. Grant) G.L. Nesom,4,y,,,,
Diplacus kelloggii,Kellogg's monkeyflower,(Curran ex Greene) G.L. Nesom,4,y,,,,
Diplacus tricolor,Three-colored monkeyflower,(Hartweg ex Lindl.) G.L. Nesom,2,y,,,,
Dodecatheon austrofrigidum,Frigid shootingstar,K.L. Chambers,1,y,,,,
Dodecatheon pulchellum var. shoshonense,Darkthroat shootingstar,(Raf.) Merr.,2,y,Primula pauciflora var. shoshonensis,n,"Leave as-is, ORBIC name matches ORFlora.",Dodecatheon pulchellum var. shoshonense (A.Nelson) Reveal | Plants of the World Online | Kew Science
Douglasia laevigata,Dwarf primrose,Gray,3,y,Androsace laevigata,n,"Leave as-is, ORBIC name matches ORFlora.",Androsace laevigata (A.Gray) Wendelbo | Plants of the World Online | Kew Science
Draba aureola,Golden alpine draba,S. Wats.,4,y,,,,
Draba cusickii,Cusick's draba,B.L. Robins. ex O.E. Schulz,4,y,,,,
Draba cyclomorpha,Wallowa draba,Payson,4,y,,,,
Draba howellii,Howell's whitlow-grass,S. Wats.,2,y,,,,
Draba incerta,Yellowstone draba,Payson,3,y,,,,
Draba oligosperma,Few-seed whitlow-grass,Hook.,3,y,,,,
Dracocephalum parviflorum,American dragonhead,Nutt.,2,y,,,,
